source,target,weight
39,58,548
39,21,406
39,22,369
58,21,317
39,11,174
39,12,169
39,14,149
39,34,148
39,36,123
39,13,105
39,28,104
39,42,97
39,47,95
39,41,93
47,39,88
12,14,87
39,1,84
47,21,79
47,58,76
22,21,75
12,13,73
14,13,66
39,15,63
11,36,62
58,34,58
39,58,57
28,21,57
28,58,56
39,53,51
34,21,47
39,57,43
39,45,42
58,11,42
39,54,38
58,1,38
58,22,37
28,34,37
47,42,36
5,34,35
22,11,34
14,22,34
36,21,34
11,21,32
39,60,32
1,21,31
39,16,30
58,53,30
58,36,29
20,5,29
20,34,29
39,5,29
58,39,28
39,17,28
39,21,27
58,47,27
39,61,25
47,34,24
34,58,24
39,20,23
22,36,23
54,53,23
39,11,23
58,53,22
53,54,22
47,11,21
22,34,21
22,1,21
39,17,21
39,32,21
22,58,21
47,22,21
42,21,20
12,22,19
58,15,18
28,22,18
12,14,18
28,15,18
17,21,17
47,36,17
47,45,17
57,58,17
11,22,17
58,54,17
42,58,17
47,60,17
58,16,16
45,11,16
16,21,16
34,15,16
22,60,15
39,52,14
54,58,14
41,36,14
57,58,13
36,58,13
17,58,13
22,13,13
58,54,13
45,58,13
28,36,13
45,21,13
47,28,13
52,58,13
58,21,13
39,16,13
17,11,13
54,58,12
11,17,12
21,39,12
60,21,12
58,60,12
42,11,12
47,20,12
39,14,12
41,22,12
39,2,12
42,45,11
40,41,11
32,34,11
42,22,11
58,36,11
60,58,11
34,32,11
11,58,10
41,14,10
20,58,10
34,36,10
20,54,10
41,11,10
1,36,10
58,16,10
58,17,10
41,21,10
15,21,10
5,54,10
42,58,10
17,21,10
