source,target,weight
39,58,6854
39,21,6363
58,21,4512
39,11,3077
39,22,1740
39,58,1513
39,34,1321
39,1,1318
39,45,1167
39,1,1103
39,53,963
39,41,922
39,47,889
39,55,880
39,54,842
39,36,819
47,39,772
39,28,772
39,31,770
22,21,719
11,21,674
53,54,625
39,14,614
39,12,509
58,53,504
55,58,499
58,11,481
45,11,478
58,22,433
34,21,430
39,45,423
39,9,419
39,29,418
58,1,407
53,21,404
55,21,404
47,21,396
39,59,394
1,21,383
39,13,383
39,57,382
58,34,381
58,21,381
39,18,377
1,21,369
58,53,369
47,11,362
47,58,348
28,58,342
1,58,321
39,3,315
39,24,298
28,21,298
39,15,294
54,21,289
54,53,286
39,20,283
14,13,280
11,36,280
39,5,272
20,5,271
39,44,268
39,32,261
39,48,258
58,54,254
39,51,250
36,21,250
39,61,250
55,58,249
39,8,248
39,16,244
5,34,241
18,11,232
58,36,230
45,21,219
39,11,218
31,21,217
39,46,217
58,54,216
20,34,216
1,11,215
12,13,211
57,58,211
12,14,205
39,2,200
22,11,199
34,58,190
39,2,185
54,58,185
45,58,183
39,40,182
11,34,180
1,58,180
32,34,179
57,58,178
1,31,177
47,1,176
47,34,171
11,58,170
45,11,161
39,25,160
34,33,159
55,53,155
58,31,154
58,11,153
39,23,151
1,11,150
39,43,148
2,58,148
39,46,146
58,39,141
47,1,141
47,41,140
41,21,140
39,33,140
47,31,139
47,45,137
58,47,135
41,58,134
22,58,132
22,1,131
39,9,130
39,35,126
55,54,125
54,58,125
20,21,123
34,32,121
51,58,121
41,11,120
57,21,119
41,59,119
46,21,117
2,21,115
1,31,114
39,21,114
39,41,112
47,45,112
57,53,112
3,21,111
3,58,110
39,62,110
47,36,108
24,21,107
22,34,107
58,1,106
58,16,106
39,62,105
39,18,104
39,42,103
61,58,103
11,31,102
39,38,101
39,50,100
40,41,100
29,21,100
28,34,97
11,47,95
24,58,95
51,58,95
5,21,94
39,24,94
61,21,92
43,44,92
20,58,90
58,34,89
11,39,89
28,29,88
16,21,85
55,29,84
41,36,83
9,21,82
31,48,82
18,1,81
2,21,81
47,41,81
39,47,80
1,45,80
5,58,80
32,21,80
58,29,80
39,52,78
51,21,78
47,28,78
