Id,Label,timeset,bio,modularity_class,Cluster,Cluter-ID,clustering,triangles,Degree,pageranks,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,eigencentrality
1,Sirius Black,,Best friend of James Potter and godfather of Harry.,1,0,20,0.844444,38,10,0.025386,991,3,0.561644,0.617886,1.540476,0.174446,0.174446,0,0.479065
2,Lavender Brown,,Killed by a werewolf. She was a gryffindor student who dated Ron.,0,0,12,1,6,4,0.012094,144,3,0.506173,0.536585,0,0.090969,0.090969,0,0.251286
3,Cho Chang,,Ravenclaw student who dated Cedric Diggory and Harry Potter.,0,0,16,1,6,4,0.012116,125,3,0.506173,0.536585,0,0.090167,0.090168,0,0.249143
5,Vincent Crabbe,,Slytherin student who was best friends with Goyle and followed Draco.,0,0,7,0.9,9,5,0.015144,125,3,0.5125,0.54878,0.25,0.073798,0.073798,0,0.20533
8,Fleur Delacour,,Participated in the Triwizard tournament and married Bill Weasley.,0,0,20,1,21,7,0.018536,486,3,0.532468,0.577236,0,0.133744,0.133744,0,0.367676
9,Cedric Diggory,,Participated in the Triwizard tournament and got killed by Voldemort.,0,0,20,0.609524,64,15,0.036868,906,3,0.602941,0.678862,10.371825,0.219848,0.219848,0,0.603507
11,Albus Dumbledore,,Headmaster of Hogwards killed by Snape.,1,0,20,0.442857,93,21,0.052901,1638,3,0.66129,0.752033,63.969444,0.270445,0.270445,0,0.74374
12,Dudley Dursley,,Muggle son of Vernon and Petunia and first-cousin of Harry.,2,0,6,1,6,4,0.013829,124,3,0.506173,0.536585,0,0.05838,0.05838,0,0.16396
13,Petunia Dursley,,Harry's aunt and sister of Lily.,2,0,6,1,6,4,0.013829,152,3,0.506173,0.536585,0,0.05838,0.05838,0,0.16396
14,Vernon Dursley,,Harry's muggle uncle.,2,0,6,1,6,4,0.013829,193,3,0.506173,0.536585,0,0.05838,0.05838,0,0.16396
15,Argus Filch,,Squib caretake of Hogwards.,1,0,3,1,1,2,0.007998,66,3,0.493976,0.512195,0,0.039925,0.039925,0,0.11069
16,Seamus Finnigan,,Harry's friend and member of Dumbledore's army.,2,0,5,1,1,2,0.00795,44,3,0.493976,0.512195,0,0.049979,0.049979,0,0.139045
18,Cornelius Fudge,,Minister of Magic that was forced to resign.,1,0,20,0.904762,19,7,0.01911,243,3,0.539474,0.581301,0.535714,0.129279,0.12928,0,0.356509
20,Gregory Goyle,,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,0,0,9,0.9,9,5,0.01482,168,3,0.5125,0.54878,0.25,0.090628,0.090629,0,0.251772
21,Hermione Granger,,One of Harry's best friend and marries Ron Weasley.,0,0,20,0.286022,133,31,0.075828,3332,3,0.788462,0.873984,111.421825,0.3387,0.338698,0,0.935139
