Id,Label,timeset,bio,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,Cluter-ID,Cluster,stat_inf_class,clustering,triangles,eigencentrality
1,Sirius Black,,Best friend of James Potter and godfather of Harry.,15,2,1735,2,0.647059,0.727273,16.05754,0.282006,0.282005,0.533333,0.05479,0,5,0,0,0.533333,56,0.70951
2,Lavender Brown,,Killed by a werewolf. She was a gryffindor student who dated Ron.,3,2,93,3,0.515625,0.540404,0,0.093974,0.093976,1,0.014262,0,5,0,0,1,3,0.23866
3,Cho Chang,,Ravenclaw student who dated Cedric Diggory and Harry Potter.,1,2,22,3,0.5,0.510101,0,0.034748,0.034749,0,0.007912,0,0,0,0,0,0,0.089717
5,Vincent Crabbe,,Slytherin student who was best friends with Goyle and followed Draco.,5,1,167,3,0.532258,0.570707,0,0.120387,0.120388,1,0.021302,0,5,0,0,1,10,0.306032
9,Cedric Diggory,,Participated in the Triwizard tournament and got killed by Voldemort.,1,2,27,3,0.5,0.510101,0,0.034748,0.034749,0,0.007912,0,1,0,0,0,0,0.089717
11,Albus Dumbledore,,Headmaster of Hogwards killed by Snape.,10,2,453,2,0.589286,0.651515,2.388492,0.227607,0.227607,0.777778,0.037125,0,5,0,0,0.777778,35,0.572232
12,Dudley Dursley,,Muggle son of Vernon and Petunia and first-cousin of Harry.,3,2,60,3,0.515625,0.540404,0,0.046066,0.046067,1,0.01688,0,4,0,0,1,3,0.121421
13,Petunia Dursley,,Harry's aunt and sister of Lily.,3,2,90,3,0.515625,0.540404,0,0.046066,0.046067,1,0.01688,0,4,0,0,1,3,0.121421
14,Vernon Dursley,,Harry's muggle uncle.,5,2,167,3,0.532258,0.570707,2,0.081775,0.081776,0.6,0.024591,0,4,0,0,0.6,6,0.212184
15,Argus Filch,,Squib caretake of Hogwards.,2,3,40,3,0.507692,0.525253,0,0.044331,0.044331,1,0.011816,0,2,0,0,1,1,0.114691
16,Seamus Finnigan,,Harry's friend and member of Dumbledore's army.,2,2,28,3,0.507692,0.525253,0,0.064064,0.064066,1,0.011078,0,5,0,0,1,1,0.163309
18,Cornelius Fudge,,Minister of Magic that was forced to resign.,9,2,303,3,0.568966,0.631313,3.920635,0.200892,0.200893,0.722222,0.034819,0,5,0,0,0.722222,26,0.505643
20,Gregory Goyle,,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,5,1,172,3,0.532258,0.570707,0,0.120387,0.120388,1,0.021302,0,5,0,0,1,10,0.306032
21,Hermione Granger,,One of Harry's best friend and marries Ron Weasley.,20,2,2290,2,0.717391,0.80303,42.00754,0.331141,0.331139,0.368421,0.074525,0,5,0,0,0.368421,70,0.836324
22,Rubeus Hagrid,,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,8,2,463,2,0.568966,0.621212,32.533333,0.175686,0.175688,0.642857,0.033926,0,5,0,0,0.642857,18,0.443554
28,Neville Longbottom,,Gryffindor student who was a member of Dumbledore's army.,7,2,273,3,0.55,0.60101,0.111111,0.181037,0.181038,0.952381,0.026802,0,5,0,0,0.952381,20,0.455339
31,Remus Lupin,,Friend of James Potter and werewolf. He married Nymphadora.,12,2,1123,3,0.6,0.676768,6.946825,0.244775,0.244776,0.606061,0.044302,0,5,0,0,0.606061,40,0.616025
32,Draco Malfoy,,Slytherin student who had many arguments with Harry.,2,2,24,3,0.507692,0.525253,0,0.050502,0.050503,1,0.01133,0,5,0,0,1,1,0.129721
33,Lucius Malfoy,,Father of Draco and influential Death-Eater.,1,2,12,3,0.366667,0.388889,0,0.015554,0.015554,0,0.008018,0,3,0,0,0,0,0.039185
34,Narcissa Malfoy,,Mother of Draco and sister of Bellatrix.,9,2,429,2,0.578947,0.636364,6.619048,0.177949,0.17795,0.583333,0.036192,0,5,0,0,0.583333,21,0.450882
36,Minerva McGonagall,,Professor of Transfiguration and head of Gryffindor.,10,2,388,2,0.589286,0.651515,3.570238,0.219841,0.219842,0.711111,0.037358,0,5,0,0,0.711111,32,0.553003
